Publisher,Regional Preference/Origin Location,Website,Subjects,Genre,No. of Books Published (last 5 yrs),Max. Publications' Year,Max. Publications' Season,Manuscript Needed (Y/N),Chapters Needed (Y/N),requires_agent,peer_reviewed,proposal_required,academic_focus,religious_focus,in_house,open_calls,Miscellaneous Submission Requirements,Promotion Channels,Titles/Industry Recognitions
HarperCollins,"New York City, US",www.harpercollins.com,"Biographies & Memoirs, History, Cookbook, Religion & Spirituality, Science Fiction, Fantasy, Mystery & Crime, Business, Self-Help, Picture Book, Nonfiction, Fiction, Poetry, Short Story, Novella, and Children's",Multi,5000,2020,Fall,Y,Y,Y,N,N,N,None,N,N,"Big Five house; typically agented, though some imprints have open windows","Global distribution, robust marketing, library channels","Historic major publisher with multiple Pulitzer, National Book Award winners"
Catapult,"New York City, US",www.catapult.co,"Biographies & Memoirs, Literary Fiction, Narrative Nonfiction, Diverse Literature, Fiction, Nonfiction, and Short Story",Multi,400,2021,Summer,N,N,Y,N,N,N,None,N,Y,"Publishes literary works, often agented; occasionally open to unagented in certain contests","Independent bookstore outreach, library marketing, social media",Renowned indie press with award-winning literary fiction & nonfiction
Tin House Books,"Portland, US",www.tinhouse.com,"Literary Fiction, Narrative Nonfiction, Biographies & Memoirs, Diverse Literature, BIPOC, LGBTQ+, Fiction, Nonfiction, Poetry, and Short Story",Multi,350,2024,Fall,Y,Y,N,N,N,N,None,N,Y,"Submissions via periodic open calls/contests for fiction, nonfiction, poetry","Lit festivals, small press distribution, strong literary presence",Spinoff from Tin House Magazine; multiple award-winning authors
Farshore Books,"New York City, US",www.farshorebooks.com,"Picture Book, Middle Grade, Young Adult, and Children's",Multi,600,2024,Spring,Y,N,Y,N,N,N,None,N,N,"Children’s/YA focus; mostly agented, see submission guidelines","Library/school fairs, children’s marketing, global distribution",Formerly Egmont UK imprint in the US market; recognized kids/YA brand
Mysterious Press,"New York City, US",www.mysteriouspress.com,"True Crime, Mystery & Crime, Thriller & Suspense, and Fiction",Multi,700,2021,Fall,N,N,Y,N,N,N,None,N,N,High-profile mystery/crime imprint; typically agented only,"Mystery/thriller conferences, library marketing, strong retail channels",Historic crime imprint founded by Otto Penzler; many Edgar Award winners
Soho Press,"New York City, US",www.sohopress.com,"Literary Fiction, Mystery & Crime, Diverse Literature, Fiction, and Short Story",Multi,500,2019,Spring,Y,N,N,N,N,N,None,N,N,"Divided into Soho Crime, Soho Teen, etc.; see imprint guidelines","Independent bookstores, library distribution, strong cult following",Prestigious indie crime/literary press
Saga Press,"New York City, US",www.sagapress.com,"Science Fiction, Fantasy, Horror, and Fiction",Multi,600,2021,Spring,Y,N,Y,N,N,N,None,N,N,Imprint of Simon & Schuster for SFF & horror; typically agented,"SFF conventions, social media, large retail presence",Growing imprint with many award-nominated titles
Candlewick Press,"Boston, US",www.candlewick.com,"Picture Book, Middle Grade, Young Adult, and Children's",Multi,1200,2021,Summer,Y,Y,N,N,N,N,None,N,N,Accepts unsolicited children’s manuscripts via mail for certain categories,"Huge library/school distribution, children’s book fairs, online presence","Multiple Caldecott/Newbery winners, recognized for high-quality children’s lit"
Hachette Livre,"New York City, US",www.hachette.com,"Literary Fiction, Romance, Young Adult, Middle Grade, Mystery & Crime, Thriller & Suspense, Science Fiction, Fantasy, Horror, Biographies & Memoirs, Politics, Cookbook, Nonfiction, Fiction, Poetry, Short Story, Novella, and Children's",Multi,7000,2022,Winter,N,N,Y,N,N,N,None,N,N,Big Five group (US division is Hachette Book Group); mostly agented,"Global distribution, major marketing campaigns, library channels","Major international publisher, includes imprints like Little, Brown; multiple awards"
Future Tense Books,"Portland, US",www.futuretensebooks.com,"Literary Fiction, Narrative Nonfiction, Biographies & Memoirs, Humor, Nonfiction, Fiction, Short Story, Novella, and Poetry",Multi,100,2022,Spring,Y,Y,N,N,N,N,None,N,Y,Indie press focusing on short form & experimental lit; open calls periodically,"Lit journals, small press distribution, social media presence",Well-regarded small press for edgy/experimental writing
Dzanc Books,"Raleigh, US",www.dzancbooks.org,"Literary Fiction, Biographies & Memoirs, Narrative Nonfiction, Horror, Mystery & Crime, Thriller & Suspense, Diverse Literature, Fiction, Nonfiction, and Short Story",Multi,200,2022,Fall,Y,Y,N,N,N,N,None,N,N,Reading periods for novels/short story collections; see site,"Indie bookstore distribution, lit festivals, strong online presence",Award-winning nonprofit press focusing on innovative literary works
Akashic Books,"New York City, US",www.akashicbooks.com,"Politics, Urban Fiction, Literary Fiction, African-American, LGBTQ+, True Crime, Diverse Literature, BIPOC, Fiction, and Nonfiction",Multi,300,2019,Spring,N,N,Y,N,N,N,None,N,N,Primarily agented or by invitation; known for “Noir” anthologies,"Indie distribution, library marketing, strong community-based outreach",Pioneering indie press with focus on diverse/urban voices
Blind Eye Books,"Seattle, US",www.blindeyebooks.com,"Science Fiction, Fantasy, Mystery & Crime, Romance, LGBTQ+, Diverse Literature, and Fiction",Multi,150,2022,Winter,Y,N,N,N,N,N,None,N,Y,Open calls for queer spec fiction/romance; see site for guidelines,"Online marketing, LGBTQ+ cons, library distribution",Beloved niche press for LGBTQ+ SFF/romance
Talos Press,"New York City, US",www.talospress.com,"Science Fiction, Fantasy, Horror, Comics & Graphic Novels, and Fiction",Multi,250,2020,Spring,Y,Y,Y,N,N,N,None,N,N,Imprint of Skyhorse; agented or direct queries if guidelines allow,"SFF/horror cons, retail distribution, library marketing",Publishes a range of genre fiction
Coffee House Press,"Minneapolis, US",www.coffeehousepress.org,"Literary Fiction, Narrative Nonfiction, Biographies & Memoirs, Diverse Literature, Fiction, Nonfiction, Poetry, and Short Story",Multi,400,2022,Spring,Y,N,N,N,N,N,None,N,Y,Nonprofit literary publisher; open reading periods posted on site,"Lit festivals, library distribution, strong indie support",Multiple major literary awards; known for championing new voices
"Farrar, Straus & Giroux","New York City, US",www.fsgbooks.com,"Literary Fiction, History, Politics, Math & Science, Narrative Nonfiction, Fiction, Nonfiction, and Poetry",Multi,2000,2020,Winter,N,N,Y,N,N,N,None,N,N,Imprint of Macmillan; typically agented only,"Global distribution, major marketing, library channels","Prestigious literary imprint with numerous Pulitzers, NBAs"
Page Street Publishing,"Boston, US",www.pagestreetpublishing.com,"Picture Book, Middle Grade, Young Adult, Cookbook, Sports & Outdoors, Math & Science, DIY, Environmental, Comics & Graphic Novels, Diverse Literature, LGBTQ+, BIPOC, Children's, and Nonfiction",Multi,600,2024,Winter,Y,Y,N,N,N,N,None,N,Y,Open to queries for children’s & adult nonfiction (esp. cookbooks/how-to); see site,"Large retail distribution, library markets, social media promotions",Indie press recognized for high-quality illustrated books/cookbooks
Montag Press,"San Francisco, US",www.montagpress.com,"Fantasy, Science Fiction, Horror, Historical Fiction, Fiction, and Short Story",Multi,150,2019,Fall,Y,N,N,N,N,N,None,N,Y,Open reading periods for spec fiction; check site for details,"Small press distribution, SFF/horror cons, digital marketing","Indie specializing in darker, speculative works"
Small Beer Press,"Boston, US",www.smallbeerpress.org,"Science Fiction, Fantasy, Literary Fiction, Diverse Literature, BIPOC, Fiction, Nonfiction, Poetry, and Short Story",Multi,200,2024,Fall,Y,N,N,N,N,N,None,N,Y,Open calls/contests at times; see site for submission windows,"Indie bookstores, SFF cons, library distribution",Highly respected small press for unique speculative/literary fiction
Schocken,"New York City, US",www.schockenbooks.com,"Jewish Literature, Literary Fiction, Politics, History, Fiction, and Nonfiction",Multi,800,2024,Winter,N,Y,Y,N,N,N,Jewish,N,N,Imprint of Knopf; focuses on Jewish topics & literature; mostly agented,"Wide distribution, Jewish cultural centers, library marketing",Historic Jewish literature imprint with renowned authors
Mighty Media,"Minneapolis, US",www.mighty-media.com,"Picture Book, Middle Grade, and Children's",Multi,100,2024,Fall,Y,N,Y,N,N,N,None,N,Y,Kids/YA focus; typically agented or limited open calls,"Library distribution, children’s fairs, strong local marketing",Independent children’s publisher
BOA Editions,"New York City, US",www.boaeditions.org,"Literary Fiction, Biographies & Memoirs, Diverse Literature, Poetry, Short Story, Nonfiction, and Fiction",Multi,300,2022,Spring,Y,N,N,N,N,N,None,N,Y,Nonprofit poetry/lit press; open reading periods & contests,"Poetry festivals, library distribution, small press events",Prestigious poetry publisher; authors include major award winners
McSweeney's Books,"San Francisco, US",www.mcsweeneys.net,"Literary Fiction, Narrative Nonfiction, Humor, Fiction, Nonfiction, and Poetry",Multi,350,2024,Winter,N,N,Y,N,N,N,None,N,N,"Quirky, innovative lit focus; mostly agented or by invitation","Strong indie presence, literary events, direct subscription model","Founded by Dave Eggers; multiple award-winning, experimental approach"
Tor Teen,"New York City, US",www.tor.com/tor-books,"Young Adult, Diverse Literature, and Children's",Multi,1000,2020,Fall,Y,N,Y,N,N,N,None,N,N,Macmillan SFF imprint for YA; typically agented or special calls,"Large distribution, library marketing, SFF/YA cons",Major YA SFF imprint
Melville House,"New York City, US",www.mhpbooks.com,"Literary Fiction, Narrative Nonfiction, Politics, History, Art, Fiction, Nonfiction, and Poetry",Multi,400,2020,Spring,Y,N,Y,N,N,N,None,N,N,"Indie press; typically agented or direct with query, see guidelines","Independent bookstore partnerships, online channels, library marketing","Well-known for political/current events series, novellas"
DAW Books,"New York City, US",www.dawbooks.com,"Fantasy, Science Fiction, Diverse Literature, LGBTQ+, BIPOC, and Fiction",Multi,700,2022,Winter,Y,N,N,N,N,N,None,N,N,One of the few major SFF houses open to unsolicited manuscripts; see site,"SFF cons, wide retail distribution, strong fandom base",Oldest US SF/fantasy specialty publisher
Kodansha Comics,"New York City, US",www.kodanshacomics.com,"Manga, Comics & Graphic Novels, and Fiction",Multi,3000,2021,Summer,Y,N,N,N,N,N,None,Y,N,Primarily Japanese manga translations + some originals; editorial acquisitions in-house,"Comic shops, anime cons, retail distribution",One of Japan’s largest publishers; known for top-selling manga worldwide
Algonquin Books,"Raleigh, US",www.algonquin.com,"Literary Fiction, Narrative Nonfiction, Diverse Literature, Fiction, and Nonfiction",Multi,800,2019,Fall,N,N,Y,N,N,N,None,N,N,Workman imprint focusing on literary & narrative nonfiction; mostly agented,"Indie bookstore distribution, robust library marketing, festival presence",Award-winning small press atmosphere with big distribution
C&R Press,"Raleigh, US",www.crpress.org,"Literary Fiction, Narrative Nonfiction, History, Biographies & Memoirs, Fiction, Nonfiction, Poetry, and Short Story",Multi,200,2019,Winter,Y,N,N,N,N,N,None,N,Y,Open reading periods for poetry/fiction; see site,"Lit festivals, small press distribution, library marketing",Indie literary press with a range of formats
Fair Winds Press,"Boston, US",www.fairwindspress.com,"Cookbook, Health & Wellbeing, Self-Help, Sports & Outdoors, and Nonfiction",Multi,500,2023,Summer,N,N,N,N,Y,N,None,N,N,Imprint of Quarto; open to lifestyle/wellness proposals via site,"Retail distribution (big box & specialty), library marketing, social media",Renowned for illustrated wellness/cookbooks
Quirk Books,"Philadelphia, US",www.quirkbooks.com,"DIY, Cookbook, History, Horror, Humor, Mystery & Crime, Politics, Sports & Outdoors, Fantasy, Science Fiction, Young Adult, Middle Grade, True Crime, Comics & Graphic Novels, Diverse Literature, LGBTQ+, BIPOC, Fiction, Children's, Nonfiction, Poetry, and Novella",Multi,450,2024,Winter,Y,N,N,N,N,N,None,N,N,Open to quirky/high-concept proposals; see site for “Submissions”,"Strong pop culture marketing, library distribution, social media",Known for offbeat bestsellers (e.g. Pride & Prejudice & Zombies)
Harvest House Publishers,"Portland, US",www.harvesthousepublishers.com,"Christian, Cookbook, Health & Wellbeing, Religion & Spirituality, Fiction, Nonfiction, and Children's",Multi,1000,2021,Spring,Y,Y,N,N,N,N,Christian,N,N,"Open to Christian-living, devotionals, some Christian fiction","Christian retailers, church marketing, library distribution","Longstanding Christian publisher, multiple ECPA awards"
Amazon Original Stories,"Seattle, US",www.amazon.com/originalstories,"Nonfiction, Novella, and Short Story",Multi,1500,2024,Spring,N,Y,N,N,N,N,None,N,N,By invitation or submission through Amazon Publishing platform; short reads focus,"Amazon ecosystem marketing, Kindle Unlimited promotions",Known for short Kindle-only originals from notable authors
Lake Union Publishing,"Seattle, US",www.lakeunionpublishing.com,"Biographies & Memoirs, Fiction, Historical Fiction, and Nonfiction",Multi,2000,2020,Winter,Y,N,Y,N,N,N,None,N,N,Amazon Publishing imprint for book-club fiction and memoirs; agented or direct via proposal,"Amazon marketing, Kindle Unlimited, global retail",Home to many popular women's fiction and historical authors
Bramble,"New York City, US",www.bramblebooks.com,"Fantasy, Romance, and Science Fiction",Multi,300,2023,Summer,Y,N,N,N,N,N,None,N,Y,Newer Tor/Forge romance/fantasy imprint; check guidelines for open calls,"SFF/romance cons, library distribution, online marketing",Emerging imprint bridging romance & speculative
Little A,"Seattle, US",www.littlea.com,"Biographies & Memoirs, Literary Fiction, Narrative Nonfiction, and Nonfiction",Multi,600,2021,Winter,Y,Y,N,N,N,N,None,N,N,Amazon Publishing imprint for literary/upmarket works; agent or direct queries sometimes,"Amazon marketing channels, Kindle First reads, global distribution",Known for high-quality literary originals
Scarlet Suspense,"New York City, US",www.scarletsuspense.com,Mystery & Crime and Thriller & Suspense,Mystery & Crime and Thriller & Suspense,150,2023,Summer,N,N,N,N,N,N,None,N,N,Likely an imprint focusing on romantic suspense or just suspense; limited info,"Retail distribution, thriller cons, digital marketing",Newer imprint with minimal public data
Waterfall Press,"Seattle, US",www.waterfallpress.com,"Fiction, Nonfiction, and Religion & Spirituality",Multi,200,2020,Winter,Y,N,N,N,N,N,Christian,N,N,Amazon imprint for Christian/inspirational works; see Amazon Publishing guidelines,"Online marketing, direct to Christian audiences, library channels",Publishes Christian fiction and faith-based nonfiction
Jet City Comics,"Seattle, US",www.jetcitycomics.com,Comics & Graphic Novels,Comics & Graphic Novels,1000,2019,Winter,Y,N,N,N,N,N,None,N,N,"Amazon imprint for comics/graphic novels, often tied to Kindle/ComiXology","Comic cons, Amazon promotions, digital distribution",Known for original comics & licensed expansions
Historium Press,"New York City, US",www.historiumpress.com,Historical Fiction,Historical Fiction,100,2023,Spring,Y,N,N,N,N,N,None,N,N,Small imprint for historical novels; see site or Amazon synergy,"Online & library marketing, historical societies, social media",Niche historical fiction imprint
TOPPLE Books,"Seattle, US",www.topplebooks.com,Feminism and LGBTQ+,Feminism and LGBTQ+,300,2022,Summer,Y,Y,N,N,N,N,None,N,N,Imprint by Joey Soloway via Amazon; focuses on intersectional feminism & queer topics,"Amazon marketing, social media activism, influencer outreach",High-profile feminist/queer imprint
Harpeth Road Press,"Nashville, US",www.harpethroadpress.com,Romance and Women's Fiction,Romance and Women's Fiction,200,2019,Fall,Y,N,N,N,N,N,None,N,N,Open to southern/women’s fiction & romance queries; see site,"Library distribution, romance fan cons, online marketing",Small romantic women’s fiction press
Sibylline Press,"San Francisco, US",www.sibyllinepress.com,"Biographies & Memoirs, Business, Fiction, and Romance",Multi,150,2022,Winter,Y,N,N,N,N,N,None,N,N,"Women-focused, inclusive approach; see guidelines for proposals","Indie store outreach, social media, library channels",Emerging women-run press
Ideapress Publishing,"Richmond, US",www.ideapresspublishing.com,"Academic, BIPOC, Business, Diverse Literature, Economics, Nonfiction, Psychology, and Self-Help",Multi,200,2024,Fall,N,N,N,N,N,N,None,N,Y,"Business/personal growth titles; queries from professionals, some open calls","Corporate speaking events, library distribution, social media marketing",Indie business/self-help press with diverse authors
Curious Curls Publishing,"Atlanta, US",www.curiouscurls.com,"Fiction, Middle Grade, Short Story, and Young Adult",Multi,100,2019,Spring,Y,Y,N,N,N,N,None,N,N,Open to imaginative mid-grade/YA fiction; see site for reading periods,"Online marketing, library channels, children’s lit fairs",Small press focusing on whimsical youth stories
Two Lions,"Seattle, US",www.twolions.com,Children's and Fiction,Children's and Fiction,800,2022,Spring,Y,N,Y,N,N,N,None,N,N,Amazon children’s imprint for picture books & younger readers; primarily agented,"Amazon marketing, library distribution, bookstore presence",Known for high-quality illustrated children’s fiction
Amazon Crossing Kids,"Seattle, US",www.amazoncrossingkids.com,"Biographies & Memoirs, BIPOC, Children's, Diverse Literature, Fiction, Middle Grade, Narrative Nonfiction, and Nonfiction",Multi,900,2024,Summer,N,Y,N,N,N,N,None,N,N,Amazon imprint focusing on children’s books in translation; some direct acquisitions,"Global Amazon marketing, library channels, translator features",Brings international kids’ titles to English readers
Bloomsbury,"New York City, US",www.bloomsbury.com,"Academic, African-American, Comics & Graphic Novels, Cookbook, Diverse Literature, Fantasy, Fiction, Historical Fiction, History, Horror, Literary Fiction, Mystery & Crime, Nonfiction, Romance, Science Fiction, Short Story, Thriller & Suspense, and True Crime",Multi,4000,2023,Winter,Y,Y,Y,N,N,Y,None,N,N,"Large international publisher; typically agented, multiple divisions (e.g. Bloomsbury Academic)","Global distribution, strong brand, library & academic presence","Famous for Harry Potter in UK, major academic/trade wings"
Amazon Crossing,"Seattle, US",www.amazoncrossing.com,"Biographies & Memoirs, BIPOC, Diverse Literature, Fiction, Literary Fiction, Narrative Nonfiction, and Nonfiction",Multi,3000,2022,Summer,Y,N,Y,N,N,N,None,N,N,Amazon’s translation imprint; typically acquires foreign-language bestsellers for English; queries must be agented or from publishers abroad,"Amazon marketing channels, global digital presence, library distribution","Leading imprint for translated works, multiple international literary award winners"
Skyscape,"Seattle, US",www.skyscape.com,"Fantasy, Fiction, Science Fiction, Thriller & Suspense, and Young Adult",Multi,1000,2019,Summer,Y,Y,Y,N,N,N,None,N,Y,"Amazon Publishing YA imprint; primarily agented, occasional open calls","Amazon ecosystem marketing, Kindle promotions, YA con presence","Hosts successful teen-oriented titles, often charting on Kindle"
47North,"Seattle, US",www.47north.com,Fantasy and Science Fiction,Fantasy and Science Fiction,1200,2019,Fall,Y,N,Y,N,Y,N,None,N,N,Amazon’s SFF imprint; typically agented or direct proposals with strong platform,"Kindle Direct marketing, social media, SFF events",Known for Amazon bestsellers in genre fiction
The Poetry Box,"Portland, US",www.thepoetrybox.com,Poetry,Poetry,200,2022,Summer,Y,Y,N,N,N,N,None,N,N,Open submission periods for chapbooks/collections; see site,"Poetry readings, small press distribution, library outreach",Indie poetry press with chapbook competitions
ORO Editions,"San Francisco, US",www.oroeditions.com,"Academic, Architecture, Biographies & Memoirs, Children's, Comics & Graphic Novels, Education & Reference, Environmental, Historical Fiction, History, Math & Science, Nonfiction, Photography, Picture Book, Poetry, Politics, Psychology, Religion & Spirituality, Sports & Outdoors, Technology, and Travel",Multi,400,2023,Fall,N,Y,N,N,N,N,None,N,N,"Specializes in high-quality art/architecture/design books, plus some cross-genre works; see site for proposals","Architecture/urbanism conferences, design stores, museum shops",Well-regarded for design & architecture monographs
Desert Palm Press,"San Francisco, US",www.desertpalmpress.com,"Fantasy, Fiction, LGBTQ+, Mystery & Crime, Romance, Science Fiction, Thriller & Suspense, Westerns, and Women's Fiction",Multi,150,2023,Summer,Y,N,N,N,N,N,None,N,N,"Open to LGBTQ+ romance, women’s fiction, certain subgenres; see submission guidelines","Online marketing, romance/lgbtq+ cons, social media",Niche press focusing on female-centered & queer stories
Conundrum Publishing,"Denver, US",www.conundrumpublishing.com,"Action & Adventure, Historical Fiction, Mystery & Crime, and Thriller & Suspense",Multi,100,2024,Summer,Y,N,N,N,N,N,None,N,N,"Genre-focused, open to adventure and historical suspense queries; see site","Thriller conventions, local bookstore signings, library distribution",Small crime/adventure press
5 Prince Publishing,"Denver, US",www.5princepublishing.com,"Fantasy, Fiction, Romance, Science Fiction, Women's Fiction, and Young Adult",Multi,200,2024,Fall,Y,N,N,N,N,N,None,N,N,"Open to romance, SFF, and women’s/YA queries; guidelines online","Romance and SFF cons, library marketing, social media campaigns",Indie genre press
Amazon Publishing,"Seattle, US",www.amazonpublishing.com,"Biographies & Memoirs, Fiction, Narrative Nonfiction, and Nonfiction",Multi,5000,2019,Spring,Y,N,Y,N,N,N,None,N,N,"Umbrella for multiple Amazon imprints (Lake Union, Thomas & Mercer, etc.); typically agented or direct with strong platform","Amazon marketing, Kindle promotions, global presence",Major e-commerce-driven publisher with numerous bestsellers
WayWord Books,"New York City, US",www.waywordbooks.com,"Action & Adventure, Biographies & Memoirs, Fiction, Literary Fiction, Mystery & Crime, Narrative Nonfiction, and Nonfiction",Multi,150,2022,Summer,Y,Y,N,N,N,N,None,N,N,"Focus on well-told narratives, both fiction & nonfiction; see site","Online marketing, library distribution, bookstore signings",Small press emphasizing narrative voice
De Gruyter Publishing,"Boston, US",www.degruyter.com,"Academic, Architecture, Art, BIPOC, Diverse Literature, Economics, Environmental, Feminism, History, Islam, Jewish Literature, Law, LGBTQ+, Math & Science, Medical, Nonfiction, Poetry, Politics, Psychology, Religion & Spirituality, and Technology",Multi,3000,2024,Fall,Y,Y,N,N,Y,Y,None,N,N,European-based academic publisher; proposals from scholars in wide fields,"Global academic library marketing, scholarly conferences, online databases",Well-established academic press with a broad range of disciplines
Spiegel & Grau,"New York City, US",www.spiegelgrau.com,Fiction and Nonfiction,Fiction and Nonfiction,600,2019,Spring,N,N,Y,N,N,N,None,N,N,Former imprint (originally part of Random House) re-launched as indie; typically agented or curated,"Strong publicity campaigns, bookstore presence, library distribution","Known for big nonfiction bestsellers (e.g., previous #1 NYT bestsellers)"
Clash Books,"New York City, US",www.clashbooks.com,"BIPOC, Fiction, LGBTQ+, Nonfiction, and Poetry",Multi,250,2019,Summer,Y,Y,N,N,N,N,None,N,Y,"Open reading periods for edgy/experimental lit, see site","Small press distribution, lit festivals, online presence",Indie press championing underrepresented voices & transgressive writing
Wildling Press,"Richmond, US",www.wildlingpress.com,"Action & Adventure, African-American, Biographies & Memoirs, BIPOC, Children's, Diverse Literature, Fantasy, Feminism, Historical Fiction, Horror, LGBTQ+, Middle Grade, Narrative Nonfiction, Novella, Picture Book, Poetry, Romance, Science Fiction, Short Story, Thriller & Suspense, Urban Fiction, Women's Fiction, and Young Adult",Multi,200,2019,Fall,Y,N,N,N,N,N,None,N,N,Inclusive press focusing on diverse authors & many genres; see guidelines,"Online marketing, bookstore distribution, library & festival presence",Committed to diversity in publishing; wide range of titles
Madville Publishing,"Houston, US",www.madvillepublishing.com,"Action & Adventure, African-American, Biographies & Memoirs, BIPOC, Diverse Literature, Fantasy, Feminism, Fiction, Historical Fiction, LGBTQ+, Literary Fiction, Mystery & Crime, Narrative Nonfiction, Nonfiction, Poetry, Science Fiction, Short Story, Thriller & Suspense, and Women's Fiction",Multi,300,2024,Summer,Y,N,N,N,N,N,None,N,Y,"Open calls for anthologies & novels, see site for reading periods","Lit festivals, library distribution, indie press marketing",Nonprofit publisher supporting diverse voices & genres
Brookline Books,"Philadelphia, US",www.brooklinebooks.com,"Art, Cookbook, History, and Sports & Outdoors",Multi,100,2021,Summer,Y,Y,N,N,N,N,None,N,N,Open to practical guides & illustrated topics; see website,"Local distribution, online marketing, library presence","Small press with emphasis on local interest, history, and art"
Heights Press,"New York City, US",www.heightspress.com,Children's,Children's,150,2022,Winter,Y,N,N,N,N,N,None,N,N,Focus on illustrated kids’ books & early readers; see site,"Library channels, children’s fairs, social media promotion",Small children’s imprint
Thomas & Mercer,"Seattle, US",www.thomasandmercer.com,Mystery & Crime and Thriller & Suspense,Mystery & Crime and Thriller & Suspense,1500,2019,Winter,Y,Y,Y,N,Y,N,None,N,N,"Amazon Publishing mystery/thriller imprint; typically agented, but direct proposals possible","Amazon marketing, Kindle promotions, library distribution",Bestselling crime imprint with major presence in e-book markets
Feminist Press,"New York City, US",www.feministpress.org,"Biographies & Memoirs, History, Literary Fiction, Narrative Nonfiction, Politics, Women's Fiction, Fiction, Nonfiction, Poetry, and Short Story",Multi,400,2023,Fall,Y,N,N,N,N,N,None,N,Y,Nonprofit focusing on intersectional feminist issues; open calls posted on site,"Activist networks, academic and indie bookstore distribution, social media",Historic feminist nonprofit press championing diverse women’s voices
Casemate Publishers,"Philadelphia, US",www.casematepublishers.com,History and Politics,History and Politics,1200,2022,Fall,Y,Y,N,N,Y,N,None,N,N,"Focus on military history & politics; proposals from historians, see guidelines","Military/historical societies, museum shops, library distribution","Leading publisher of military history, recognized internationally"
Ulysses Press,"New York City, US",www.ulyssespress.com,"Children's, Cookbook, Fiction, Health & Wellbeing, Humor, Middle Grade, Mystery & Crime, Nonfiction, Religion & Spirituality, Self-Help, and Young Adult",Multi,700,2023,Summer,Y,Y,N,N,N,N,None,N,N,"Open to pop culture, lifestyle, and niche topics; see site","Major retail distribution, online marketing, library channels",Indie press known for trendy or quick-to-market titles
Barefoot Books,"Cambridge, US",www.barefootbooks.com,"Children's, Comics & Graphic Novels, and Middle Grade",Multi,500,2022,Fall,Y,N,N,N,N,N,None,N,N,"Focus on multicultural children’s, possibly open to direct queries","School/cultural events, library distribution, gift shops","Pioneering multicultural kids’ press, known for inclusive picture books"
AmazonEncore,"Seattle, US",www.amazonencore.com,"Fiction, Romance, and Thriller & Suspense",Multi,800,2023,Winter,Y,Y,N,N,N,N,None,N,N,Amazon imprint reviving out-of-print or self-published hits; selection process internally curated,"Amazon platform promotions, Kindle marketing, social media",Known for reintroducing popular self-published works to mainstream
Hemlock Press,"New York City, US",www.hemlockpress.com,Mystery & Crime and Thriller & Suspense,Mystery & Crime and Thriller & Suspense,100,2019,Spring,Y,N,N,N,N,N,None,N,Y,"Small crime imprint, open to queries with sample chapters","Mystery cons, online marketing, library distribution",Newer imprint focusing on suspense
Grand Harbor Press,"Seattle, US",www.grandharborpress.com,"Biographies & Memoirs, Nonfiction, and Self-Help",Multi,600,2020,Winter,Y,N,Y,N,N,N,None,N,N,Amazon Publishing imprint for inspirational/self-help; mostly agented or direct with proposal,"Amazon marketing, library distribution, social media campaigns",Popular self-help and inspirational imprint
KugaliInk,"New York City, US",www.kugaliink.com,"Action & Adventure, Comics & Graphic Novels, Fiction, and Middle Grade",Multi,300,2021,Summer,Y,N,N,N,N,N,None,N,N,"Focus on African-inspired comics/graphic novels, see guidelines","Comic cons, Kickstarter campaigns, library marketing",Rising presence in African-based sci-fi/fantasy comics
Inimitable Books,"New York City, US",www.inimitablebooks.com,"Action & Adventure, BIPOC, Diverse Literature, Fantasy, Fiction, Horror, LGBTQ+, Literary Fiction, Middle Grade, Mystery & Crime, Romance, Science Fiction, Thriller & Suspense, Women's Fiction, and Young Adult",Multi,150,2023,Fall,N,N,N,N,N,N,None,N,N,Inclusive publisher open to cross-genre stories; see site for reading windows,"Online presence, library distribution, indie store partnerships",Small press promoting diverse voices across multiple genres
Liguori Publications,"Liguori, US",www.liguoripub.com,Catholic and Nonfiction,Catholic and Nonfiction,400,2020,Summer,Y,Y,N,N,N,N,Catholic,N,N,Redemptorist-run Catholic publisher; see submission guidelines,"Catholic networks, parish distribution, library marketing",Renowned for Catholic liturgical/devotional materials
Entangled Teen,"Denver, US",www.entangledteen.com,"Young Adult, Romance, Children's, Fiction, and Novella",Multi,1000,2021,Winter,Y,Y,N,N,N,N,None,N,Y,YA imprint of Entangled Publishing; open calls for romance & teen fiction,"Romance & YA cons, social media, wide digital distribution",Popular for teen romance & fantasy hits
International Press of Boston,"Boston, US",www.ipboston.com,"Academic, Math & Science, Education & Reference, and Nonfiction",Multi,300,2022,Winter,Y,N,N,N,N,N,None,N,N,"High-level math/physics journals & monographs, see guidelines","Academic conferences, library distribution, advanced research forums",Renowned for math/physics scholarly publications
Atheneum Books,"New York City, US",www.atheneumbooks.com,"Picture Book, Middle Grade, Young Adult, and Children's",Multi,600,2020,Spring,Y,N,Y,N,N,N,None,N,N,Imprint of Simon & Schuster for children’s/YA; typically agented,"Global distribution, library marketing, children’s book fairs",Historic children’s imprint with Caldecott/Newbery winners
